species,days_from_start,n,mean,se
L. digitata,0,38,0.4634316190218197,0.020373709104720167
L. digitata,1,21,0.37495842439761506,0.03195622920762433
L. digitata,4,279,0.4094801057305523,0.005722038128102927
L. digitata,5,22,0.4007451897058038,0.02369959610462251
L. digitata,6,18,0.41354958955666493,0.02315345031793599
L. digitata,7,1,0.4048213839620285,NA
L. digitata,8,63,0.3740384472387289,0.007316548320774279
L. digitata,9,3,0.4264702020576224,0.01237354118712687
L. digitata,12,45,0.30021849980658566,0.0074409003668068
L. digitata,16,42,0.2651735615929061,0.00499255363293789
L. digitata,NA,42,0.4394052262891197,0.017048517938066936
L. hyperborea,0,10,0.5355490057335603,0.0230674553665723
L. hyperborea,1,1,0.5832835311192692,NA
L. hyperborea,4,18,0.4074904418323824,0.03425232697431113
L. hyperborea,14,3,0.36391431498077514,0.0036747393123484446
S. latissima,0,11,0.4775631127095997,0.027667360394014233
S. latissima,4,20,0.4817271517543285,0.018007584615947217
S. latissima,14,4,0.3580402629453314,0.03618332042468853
S. latissima,NA,1,0.21021833724082703,NA
