days_from_start,n,mean,se
0,38,0.4634316190218197,0.020373709104720167
1,21,0.37495842439761506,0.03195622920762433
4,279,0.4094801057305523,0.005722038128102927
5,22,0.4007451897058038,0.02369959610462251
6,18,0.41354958955666493,0.02315345031793599
7,1,0.4048213839620285,NA
8,63,0.3740384472387289,0.007316548320774279
9,3,0.4264702020576224,0.01237354118712687
12,45,0.30021849980658566,0.0074409003668068
16,42,0.2651735615929061,0.00499255363293789
NA,42,0.4394052262891197,0.017048517938066936
